iter	Passed	Remaining
0	0	69
1	1	65
2	1	62
3	2	56
4	2	54
5	3	55
6	4	56
7	4	56
8	5	56
9	6	54
10	6	54
11	7	54
12	8	55
13	9	55
14	9	55
15	10	55
16	11	54
17	11	53
18	12	53
19	13	52
20	13	51
21	14	50
22	15	50
23	15	49
24	16	48
25	16	47
26	17	46
27	17	46
28	18	45
29	19	45
30	20	44
31	20	43
32	21	43
33	22	42
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	25	38
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	32
48	31	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	9
86	56	8
87	57	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
